station_origin,station_destination,flows
Waterloo,Bank and Monument,15946
Waterloo,Canary Wharf,8085
Stratford,Liverpool Street,6946
London Bridge,Canary Wharf,6165
Victoria,Oxford Circus,5181
Canada Water,Canary Wharf,4030
Stratford,Canary Wharf,3875
Liverpool Street,Farringdon,3755
Finsbury Park,Highbury & Islington,3659
Canada Water,London Bridge,3202
Ilford,Stratford,3080
Canary Wharf,Bank and Monument,2643
Victoria,Warren Street,2599
Waterloo,Oxford Circus,2425
Brixton,Oxford Circus,2411
Finsbury Park,King's Cross St. Pancras,2403
Bank and Monument,Canary Wharf,2339
Limehouse,Bank and Monument,2208
Waterloo,Piccadilly Circus,2203
Waterloo,Bond Street,2164
