station_origin,station_destination,SIM_est_exp,flows,Ai_exp,Bj_exp
Waterloo,Bank and Monument,4557.0,15946,1.716434065517406e-06,0.743537327580629
Stratford,Canary Wharf,3747.0,3875,2.7715311987956925e-06,0.9042238192733131
Ilford,Stratford,3162.0,3080,4.474390456683494e-05,0.5688775884685113
Stratford,Bank and Monument,2998.0,1138,2.7715311987956925e-06,0.743537327580629
London Bridge,Bank and Monument,2962.0,445,1.784472032736932e-06,0.743537327580629
Liverpool Street,Bank and Monument,2921.0,812,1.809520313213552e-06,0.743537327580629
Waterloo,Liverpool Street,2834.0,1571,1.716434065517406e-06,0.6765977062654689
Waterloo,Oxford Circus,2729.0,2425,1.716434065517406e-06,0.800902713214829
Waterloo,Victoria,2450.0,285,1.716434065517406e-06,0.8940370381388045
Stratford,Liverpool Street,2417.0,6946,2.7715311987956925e-06,0.6765977062654689
Waterloo,London Bridge,2295.0,1862,1.716434065517406e-06,0.8700987280077097
Canada Water,Canary Wharf,2134.0,4030,2.2203712615379834e-06,0.9042238192733131
Canning Town,Canary Wharf,2058.0,1258,2.8492212869123207e-06,0.9042238192733131
Lewisham,Canary Wharf,1998.0,1920,1.2302640404616943e-05,0.9042238192733131
Chadwell Heath,Stratford,1960.0,2112,7.225902173538674e-05,0.5688775884685113
Victoria,Bank and Monument,1957.0,480,1.8540009811391345e-06,0.743537327580629
Waterloo,Canary Wharf,1949.0,8085,1.716434065517406e-06,0.9042238192733131
Canada Water,Bank and Monument,1901.0,117,2.2203712615379834e-06,0.743537327580629
Romford,Stratford,1864.0,2031,0.00011047030227864281,0.5688775884685113
London Bridge,Liverpool Street,1842.0,163,1.784472032736932e-06,0.6765977062654689
